flight_date,flight_status,departure_airport,departure_iata,departure_delay_minutes,departure_scheduled,departure_estimated,departure_actual,arrival_airport,arrival_iata,arrival_scheduled,arrival_delay_minutes,arrival_estimated,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,year,month,day,day_of_week,total_delay_minutes,route,is_delayed
2025-12-23 00:00:00,scheduled,Carthage,TUN,0.0,2025-12-23,2025-12-23,Unknown,King Abdulaziz International,JED,2025-12-24,0.0,Unknown,Unknown,Tunisair,TU,TAR,913,TU913,TAR913,2025,12,23,Tuesday,0.0,TUN → JED,0.0
2025-12-23 00:00:00,scheduled,Orly,ORY,0.0,2025-12-23,2025-12-23,Unknown,Djerba-Zarzis,DJE,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,635,TU635,TAR635,2025,12,23,Tuesday,0.0,ORY → DJE,0.0
2025-12-23 00:00:00,scheduled,Carthage,TUN,0.0,2025-12-23,2025-12-23,Unknown,King Abdulaziz International,JED,2025-12-24,0.0,Unknown,Unknown,Tunisair,TU,TAR,713,TU713,TAR713,2025,12,23,Tuesday,0.0,TUN → JED,0.0
2025-12-23 00:00:00,scheduled,Heathrow,LHR,0.0,2025-12-23,2025-12-23,Unknown,Carthage,TUN,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,791,TU791,TAR791,2025,12,23,Tuesday,0.0,LHR → TUN,0.0
2025-12-23 00:00:00,scheduled,Orly,ORY,0.0,2025-12-23,2025-12-23,Unknown,Carthage,TUN,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,2725,TU2725,TAR2725,2025,12,23,Tuesday,0.0,ORY → TUN,0.0
2025-12-23 00:00:00,scheduled,Carthage,TUN,0.0,2025-12-23,2025-12-23,Unknown,"Blaise Diagne International Airport
",DSS,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,343,TU343,TAR343,2025,12,23,Tuesday,0.0,TUN → DSS,0.0
2025-12-23 00:00:00,scheduled,Carthage,TUN,0.0,2025-12-23,2025-12-23,Unknown,Orly,ORY,2025-12-23,10.0,Unknown,Unknown,Tunisair,TU,TAR,724,TU724,TAR724,2025,12,23,Tuesday,10.0,TUN → ORY,0.0
2025-12-23 00:00:00,scheduled,MÃ©rignac,BOD,0.0,2025-12-23,2025-12-23,Unknown,Carthage,TUN,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,629,TU629,TAR629,2025,12,23,Tuesday,0.0,BOD → TUN,0.0
2025-12-23 00:00:00,scheduled,Orly,ORY,0.0,2025-12-23,2025-12-23,Unknown,Carthage,TUN,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,723,TU723,TAR723,2025,12,23,Tuesday,0.0,ORY → TUN,0.0
2025-12-23 00:00:00,scheduled,Es Senia,ORN,0.0,2025-12-23,2025-12-23,Unknown,Carthage,TUN,2025-12-23,0.0,Unknown,Unknown,Tunisair,TU,TAR,709,TU709,TAR709,2025,12,23,Tuesday,0.0,ORN → TUN,0.0
