ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
BJ599_02_08_2022_20_35,02/08/2022,02/08/2022,BJ599,landed,LYS,SAINT EXUPERY,TUN,CARTHAGE,2022-08-02 21:35,20h,2022-08-02 22:30,21h,,,,,0,0,BJ,TUNISIA,FRANCE
BJ845_02_08_2022_18_30,02/08/2022,02/08/2022,BJ845,landed,LGW,GATWICK,TUN,CARTHAGE,2022-08-02 19:30,19h,2022-08-02 22:30,21h,2022-08-02 20:01,,2022-08-02 20:01,,31,0,BJ,TUNISIA,UNITED KINGDOM
TU721_02_08_2022_20_40,02/08/2022,02/08/2022,TU721,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-02 21:40,20h,2022-08-02 23:05,22h,,,,,0,0,TU,TUNISIA,FRANCE
TU725_02_08_2022_20_50,02/08/2022,02/08/2022,TU725,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-02 21:50,20h,2022-08-02 23:15,22h,,,,,0,0,TU,TUNISIA,FRANCE
BJ567_02_08_2022_21_25,02/08/2022,02/08/2022,BJ567,landed,LIL,LESQUIN,TUN,CARTHAGE,2022-08-02 22:25,21h,2022-08-03 00:00,23h,,,,,0,0,BJ,TUNISIA,FRANCE
BJ521_02_08_2022_21_55,02/08/2022,02/08/2022,BJ521,landed,CDG,CHARLES DE GAULLE,TUN,CARTHAGE,2022-08-02 22:55,21h,2022-08-03 00:25,23h,,,,,0,0,BJ,TUNISIA,FRANCE
AF1784_02_08_2022_22_20,02/08/2022,02/08/2022,AF1784,landed,CDG,CHARLES DE GAULLE,TUN,CARTHAGE,2022-08-02 23:20,22h,2022-08-03 00:45,23h,2022-08-02 23:14,2022-08-03 00:34,2022-08-02 23:14,,0,0,AF,TUNISIA,FRANCE
TU629_02_08_2022_22_40,03/08/2022,02/08/2022,TU629,landed,BOD,MERIGNAC,TUN,CARTHAGE,2022-08-02 23:40,00h,2022-08-03 00:45,23h,2022-08-03 01:00,,,,80,80,TU,TUNISIA,FRANCE
TU712_02_08_2022_22_30,02/08/2022,03/08/2022,TU712,landed,CMN,MOHAMMED V INTL,TUN,CARTHAGE,2022-08-02 23:30,22h,2022-08-03 01:55,00h,,,,,0,0,TU,TUNISIA,MOROCCO
TU395_02_08_2022_21_00,02/08/2022,03/08/2022,TU395,landed,BKO,SENOU,TUN,CARTHAGE,2022-08-02 22:00,21h,2022-08-03 03:30,03h,,2022-08-03 04:45,,,0,75,TU,TUNISIA,MALI
TU841_02_08_2022_22_00,02/08/2022,03/08/2022,TU841,landed,CKY,CONAKRY,TUN,CARTHAGE,2022-08-02 23:00,22h,2022-08-03 05:05,04h,,,,,0,0,TU,TUNISIA,GUINEA
TU814_03_08_2022_02_30,03/08/2022,03/08/2022,TU814,landed,CAI,CAIRO INTL,TUN,CARTHAGE,2022-08-03 03:30,02h,2022-08-03 05:45,04h,,,,,0,0,TU,TUNISIA,EGYPT
TU399_03_08_2022_01_25,03/08/2022,03/08/2022,TU399,landed,NIM,DIORI HAMANI,TUN,CARTHAGE,2022-08-03 02:25,01h,2022-08-03 06:05,05h,,,,,0,0,TU,TUNISIA,NIGER
BJ691_03_08_2022_04_20,03/08/2022,03/08/2022,BJ691,landed,IST,ATATURK,TUN,CARTHAGE,2022-08-03 05:20,04h,2022-08-03 06:20,05h,,,,,0,0,BJ,TUNISIA,TURKEY
TO9870_03_08_2022_04_55,03/08/2022,03/08/2022,TO9870,landed,LYS,SAINT EXUPERY,TUN,CARTHAGE,2022-08-03 05:55,04h,2022-08-03 06:55,05h,,,,,0,0,TO,TUNISIA,FRANCE
TO3764_03_08_2022_05_45,03/08/2022,03/08/2022,TO3764,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-03 06:45,05h,2022-08-03 08:15,07h,,,,,0,0,TO,TUNISIA,FRANCE
