flight_date,flight_status,departure_airport,departure_iata,departure_delay_minutes,departure_scheduled,departure_estimated,departure_actual,arrival_airport,arrival_iata,arrival_scheduled,arrival_delay_minutes,arrival_estimated,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,year,month,day,day_of_week,total_delay_minutes,route,is_delayed
12/23/2025,scheduled,Carthage,TUN,0,2025-12-23 20:05:00+00:00,2025-12-23 20:05:00+00:00,,King Abdulaziz International,JED,2025-12-24 02:30:00+00:00,0,,,Tunisair,TU,TAR,913,TU913,TAR913,2025,12,23,Tuesday,0,TUN → JED,FALSE
12/23/2025,scheduled,Orly,ORY,0,2025-12-23 19:15:00+00:00,2025-12-23 19:15:00+00:00,,Djerba-Zarzis,DJE,2025-12-23 22:05:00+00:00,0,,,Tunisair,TU,TAR,635,TU635,TAR635,2025,12,23,Tuesday,0,ORY → DJE,FALSE
12/23/2025,scheduled,Carthage,TUN,0,2025-12-23 18:25:00+00:00,2025-12-23 18:25:00+00:00,,King Abdulaziz International,JED,2025-12-24 00:40:00+00:00,0,,,Tunisair,TU,TAR,713,TU713,TAR713,2025,12,23,Tuesday,0,TUN → JED,FALSE
12/23/2025,scheduled,Heathrow,LHR,0,2025-12-23 16:50:00+00:00,2025-12-23 16:50:00+00:00,,Carthage,TUN,2025-12-23 20:50:00+00:00,0,,,Tunisair,TU,TAR,791,TU791,TAR791,2025,12,23,Tuesday,0,LHR → TUN,FALSE
12/23/2025,scheduled,Orly,ORY,0,2025-12-23 13:00:00+00:00,2025-12-23 13:00:00+00:00,,Carthage,TUN,2025-12-23 15:14:00+00:00,0,,,Tunisair,TU,TAR,2725,TU2725,TAR2725,2025,12,23,Tuesday,0,ORY → TUN,FALSE
12/23/2025,scheduled,Carthage,TUN,0,2025-12-23 17:00:00+00:00,2025-12-23 17:00:00+00:00,,"Blaise Diagne International Airport
",DSS,2025-12-23 21:25:00+00:00,0,,,Tunisair,TU,TAR,343,TU343,TAR343,2025,12,23,Tuesday,0,TUN → DSS,FALSE
12/23/2025,scheduled,Carthage,TUN,0,2025-12-23 16:55:00+00:00,2025-12-23 16:55:00+00:00,,Orly,ORY,2025-12-23 19:20:00+00:00,10,,,Tunisair,TU,TAR,724,TU724,TAR724,2025,12,23,Tuesday,10,TUN → ORY,FALSE
12/23/2025,scheduled,MÃ©rignac,BOD,0,2025-12-23 16:35:00+00:00,2025-12-23 16:35:00+00:00,,Carthage,TUN,2025-12-23 18:35:00+00:00,0,,,Tunisair,TU,TAR,629,TU629,TAR629,2025,12,23,Tuesday,0,BOD → TUN,FALSE
12/23/2025,scheduled,Orly,ORY,0,2025-12-23 17:00:00+00:00,2025-12-23 17:00:00+00:00,,Carthage,TUN,2025-12-23 19:25:00+00:00,0,,,Tunisair,TU,TAR,723,TU723,TAR723,2025,12,23,Tuesday,0,ORY → TUN,FALSE
12/23/2025,scheduled,Es Senia,ORN,0,2025-12-23 15:40:00+00:00,2025-12-23 15:40:00+00:00,,Carthage,TUN,2025-12-23 17:20:00+00:00,0,,,Tunisair,TU,TAR,709,TU709,TAR709,2025,12,23,Tuesday,0,ORN → TUN,FALSE
