FLIGHT_DATE;DEPARTURE_DATE;ARRIVAL_DATE;FLIGHT_NUMBER;FLIGHT_STATUS;DEPARTURE_IATA;DEPARTURE_AIRPORT;ARRIVAL_IATA;ARRIVAL_AIRPORT;DEPARTURE_SCHEDULED;DEPARTURE_HOUR;ARRIVAL_SCHEDULED;ARRIVAL_HOUR;DEPARTURE_ESTIMATED;ARRIVAL_ESTIMATED;DEPARTURE_ACTUAL;ARRIVAL_ACTUAL;DEPARTURE_DELAY;ARRIVAL_DELAY;AIRLINE;ARRIVAL_COUNTRY;DEPARTURE_COUNTRY
30_07_2022_14_35;30/07/2022;30/07/2022;TU722;landed;TUN;CARTHAGE;ORY;ORLY;30/07/2022 15:35;14h;30/07/2022 19:00;18h;30/07/2022 15:51;30/07/2022 19:07;30/07/2022 15:51;30/07/2022 19:07;16.0;7.0;TU;FRANCE;TUNISIA
30_07_2022_16_30;30/07/2022;30/07/2022;TU998;landed;TUN;CARTHAGE;NCE;COTE DAZUR;30/07/2022 17:30;16h;30/07/2022 20:00;21h;;30/07/2022 22:00;;30/07/2022 22:00;120.0;120.0;TU;FRANCE;TUNISIA
30_07_2022_16_30;30/07/2022;30/07/2022;TU851;landed;LYS;SAINT EXUPERY;TUN;CARTHAGE;30/07/2022 17:30;16h;30/07/2022 18:20;17h;30/07/2022 17:35;30/07/2022 18:25;30/07/2022 17:35;30/07/2022 18:25;5.0;5.0;TU;TUNISIA;FRANCE
30_07_2022_17_00;30/07/2022;30/07/2022;TU701;landed;GVA;GENEVE COINTRIN;TUN;CARTHAGE;30/07/2022 18:00;18h;30/07/2022 18:55;19h;30/07/2022 19:30;30/07/2022 20:15;30/07/2022 19:30;30/07/2022 20:15;90.0;80.0;TU;TUNISIA;SWITZERLAND
30_07_2022_16_50;30/07/2022;30/07/2022;TU793;landed;STN;STANSTED;TUN;CARTHAGE;30/07/2022 17:50;17h;30/07/2022 20:55;20h;30/07/2022 18:20;30/07/2022 21:16;30/07/2022 18:20;30/07/2022 21:16;30.0;21.0;TU;TUNISIA;UNITED KINGDOM
30_07_2022_18_55;30/07/2022;30/07/2022;TU527;landed;DUS;DUSSELDORF;TUN;CARTHAGE;30/07/2022 19:55;18h;30/07/2022 21:30;20h;;;;;;;TU;TUNISIA;GERMANY
30_07_2022_20_00;30/07/2022;30/07/2022;TU999;landed;NCE;COTE DAZUR;TUN;CARTHAGE;30/07/2022 21:00;20h;30/07/2022 21:35;20h;;;;;;;TU;TUNISIA;FRANCE
30_07_2022_19_30;30/07/2022;30/07/2022;TU723;landed;ORY;ORLY;TUN;CARTHAGE;30/07/2022 20:30;19h;30/07/2022 21:55;20h;30/07/2022 20:29;30/07/2022 21:45;30/07/2022 20:29;30/07/2022 21:45;;10.0;TU;TUNISIA;FRANCE
30_07_2022_14_30;30/07/2022;30/07/2022;TU203;active;YUL;PIERRE ELLIOTT TRUDEAU INTL;TUN;CARTHAGE;30/07/2022 15:30;14h;31/07/2022 04:45;03h;30/07/2022 15:43;;30/07/2022 15:43;;13.0;;TU;TUNISIA;CANADA
31_07_2022_07_45;31/07/2022;31/07/2022;TU147;landed;DXB;DUBAI INTL;TUN;CARTHAGE;31/07/2022 08:45;07h;31/07/2022 11:55;10h;;31/07/2022 11:24;;31/07/2022 11:24;0.0;31.0;TU;TUNISIA;UNITED ARAB EMIRATES
