ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
TU202_01_08_2022_08_35,01/08/2022,01/08/2022,TU202,landed,TUN,CARTHAGE,YUL,PIERRE ELLIOTT TRUDEAU INTL,2022-08-01 09:35,08h,2022-08-01 13:30,12h,,,,,0.0,0.0,TU,CANADA,TUNISIA
TU151_31_07_2022_09_45,31/07/2022,31/07/2022,TU151,landed,AMM,QUEEN ALIA INTL,TUN,CARTHAGE,2022-07-31 10:45,10h,2022-07-31 12:35,12h,2022-07-31 11:17,2022-07-31 13:00,2022-07-31 11:17,2022-07-31 13:00,32.0,25.0,TU,TUNISIA,JORDAN
TU721_31_07_2022_20_40,31/07/2022,31/07/2022,TU721,landed,ORY,ORLY,TUN,CARTHAGE,2022-07-31 21:40,20h,2022-07-31 23:05,22h,,,,,0.0,0.0,TU,TUNISIA,FRANCE
TU855_31_07_2022_22_20,31/07/2022,31/07/2022,TU855,landed,LYS,SAINT EXUPERY,TUN,CARTHAGE,2022-07-31 23:20,23h,2022-08-01 00:15,23h,2022-08-01 00:10,2022-08-01 00:55,2022-08-01 00:10,,50.0,40.0,TU,TUNISIA,FRANCE
TU515_31_07_2022_22_45,31/07/2022,31/07/2022,TU515,landed,BCN,BARCELONA,TUN,CARTHAGE,2022-07-31 23:45,22h,2022-08-01 00:20,23h,,,,,0.0,0.0,TU,TUNISIA,SPAIN
TU217_31_07_2022_22_45,31/07/2022,31/07/2022,TU217,landed,IST,ATATURK,TUN,CARTHAGE,2022-07-31 23:45,22h,2022-08-01 00:40,23h,,,,,0.0,0.0,TU,TUNISIA,TURKEY
TU607_01_08_2022_00_20,01/08/2022,01/08/2022,TU607,landed,MAD,BARAJAS,TUN,CARTHAGE,2022-08-01 01:20,00h,2022-08-01 02:35,01h,,,,,0.0,0.0,TU,TUNISIA,SPAIN
TU706_01_08_2022_01_00,01/08/2022,01/08/2022,TU706,landed,CMN,MOHAMMED V INTL,TUN,CARTHAGE,2022-08-01 02:00,01h,2022-08-01 04:25,03h,,,,,0.0,0.0,TU,TUNISIA,MOROCCO
TU397_31_07_2022_21_30,31/07/2022,01/08/2022,TU397,landed,ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTL,TUN,CARTHAGE,2022-07-31 22:30,21h,2022-08-01 04:45,03h,,,,,0.0,0.0,TU,TUNISIA,COTE D'IVOIRE
TU564_31_07_2022_22_50,31/07/2022,01/08/2022,TU564,landed,NKC,NOUAKCHOTT,TUN,CARTHAGE,2022-07-31 23:50,22h,2022-08-01 05:05,04h,,,,,0.0,0.0,TU,TUNISIA,MAURITANIA
TU374_31_07_2022_11_15,31/07/2022,31/07/2022,TU374,landed,TUN,CARTHAGE,ALG,HOUARI BOUMEDIENE,2022-07-31 12:15,11h,2022-07-31 13:35,13h,,2022-07-31 14:15,,2022-07-31 14:15,40.0,40.0,TU,ALGERIA,TUNISIA
TU282_31_07_2022_11_50,31/07/2022,31/07/2022,TU282,landed,TUN,CARTHAGE,TLS,BLAGNAC,2022-07-31 12:50,13h,2022-07-31 15:45,14h,2022-07-31 14:44,,2022-07-31 14:44,,114.0,0.0,TU,FRANCE,TUNISIA
TU998_31_07_2022_11_55,31/07/2022,31/07/2022,TU998,landed,TUN,CARTHAGE,NCE,COTE DAZUR,2022-07-31 12:55,11h,2022-07-31 15:25,15h,,2022-07-31 16:22,,2022-07-31 16:22,57.0,57.0,TU,FRANCE,TUNISIA
TU856_31_07_2022_12_30,31/07/2022,31/07/2022,TU856,landed,TUN,CARTHAGE,MXP,MALPENSA,2022-07-31 13:30,13h,2022-07-31 16:15,16h,2022-07-31 14:45,2022-07-31 17:25,2022-07-31 14:45,2022-07-31 17:25,75.0,70.0,TU,ITALY,TUNISIA
TU152_31_07_2022_12_45,31/07/2022,31/07/2022,TU152,landed,TUN,CARTHAGE,AMM,QUEEN ALIA INTL,2022-07-31 13:45,13h,2022-07-31 19:30,18h,2022-07-31 14:24,2022-07-31 19:50,2022-07-31 14:24,2022-07-31 19:50,39.0,20.0,TU,JORDAN,TUNISIA
TU902_31_07_2022_12_45,31/07/2022,31/07/2022,TU902,landed,TUN,CARTHAGE,MRS,PROVENCE,2022-07-31 13:45,15h,2022-07-31 16:20,18h,2022-07-31 16:05,2022-07-31 19:23,,2022-07-31 19:23,140.0,183.0,TU,FRANCE,TUNISIA
