flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_delay_minutes,departure_scheduled,departure_estimated,departure_actual,arrival_airport,arrival_timezone,arrival_iata,arrival_scheduled,arrival_delay_minutes,arrival_estimated,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,year,month,day,day_of_week,total_delay_minutes,route,is_delayed
2025-12-21,Unknown,Orly,Europe/Paris,ORY,0.0,2025-12-21 13:00:00+00:00,2025-12-21 13:00:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-21 15:18:00+00:00,0.0,,,Tunisair,TU,TAR,2725,TU2725,TAR2725,2025,12,21,Sunday,0.0,ORY → TUN,False
2025-12-21,active,Orly,Europe/Paris,ORY,0.0,2025-12-21 21:05:00+00:00,2025-12-21 21:05:00+00:00,2025-12-21 21:20:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 23:30:00+00:00,16.0,2025-12-21 23:24:00+00:00,,Tunisair,TU,TAR,725,TU725,TAR2725,2025,12,21,Sunday,16.0,ORY → TUN,True
2025-12-21,landed,Marseille Provence Airport,Europe/Paris,MRS,43.0,2025-12-21 15:15:00+00:00,2025-12-21 15:15:00+00:00,2025-12-21 16:12:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 16:50:00+00:00,43.0,2025-12-21 17:33:00+00:00,2025-12-21 17:33:00+00:00,Tunisair,TU,TAR,903,TU903,TAR903,2025,12,21,Sunday,86.0,MRS → TUN,True
2025-12-21,scheduled,Carthage,Africa/Tunis,TUN,58.0,2025-12-21 16:00:00+00:00,2025-12-21 16:00:00+00:00,2025-12-21 17:16:00+00:00,Milano Malpensa,Europe/Rome,MXP,2025-12-21 17:45:00+00:00,58.0,2025-12-21 18:43:00+00:00,,Tunisair,TU,TAR,856,TU856,TAR856,2025,12,21,Sunday,116.0,TUN → MXP,True
2025-12-21,scheduled,Carthage,Africa/Tunis,TUN,146.0,2025-12-21 15:55:00+00:00,2025-12-21 15:55:00+00:00,2025-12-21 18:28:00+00:00,Ouagadougou,Africa/Ouagadougou,OUA,2025-12-21 19:15:00+00:00,146.0,2025-12-21 21:41:00+00:00,,Tunisair,TU,TAR,397,TU397,TAR397,2025,12,21,Sunday,292.0,TUN → OUA,True
2025-12-21,scheduled,Cote D'azur International Airport,Europe/Paris,NCE,107.0,2025-12-21 15:10:00+00:00,2025-12-21 15:10:00+00:00,2025-12-21 17:21:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-21 16:45:00+00:00,106.0,2025-12-21 18:31:00+00:00,,Tunisair,TU,TAR,999,TU999,TAR999,2025,12,21,Sunday,213.0,NCE → TUN,True
2025-12-21,scheduled,Charles De Gaulle,Europe/Paris,CDG,57.0,2025-12-21 15:40:00+00:00,2025-12-21 15:40:00+00:00,2025-12-21 16:51:00+00:00,Habib Bourguiba,Africa/Tunis,MIR,2025-12-21 18:20:00+00:00,56.0,2025-12-21 19:16:00+00:00,,Tunisair,TU,TAR,441,TU441,TAR441,2025,12,21,Sunday,113.0,CDG → MIR,True
2025-12-21,scheduled,Djerba-Zarzis,Africa/Tunis,DJE,135.0,2025-12-21 14:35:00+00:00,2025-12-21 14:35:00+00:00,2025-12-21 17:10:00+00:00,St-ExupÃ©ry,Europe/Paris,LYS,2025-12-21 16:55:00+00:00,135.0,2025-12-21 19:10:00+00:00,,Tunisair,TU,TAR,588,TU588,TAR588,2025,12,21,Sunday,270.0,DJE → LYS,True
2025-12-21,landed,Carthage,Africa/Tunis,TUN,0.0,2025-12-21 14:55:00+00:00,2025-12-21 14:55:00+00:00,2025-12-21 15:01:00+00:00,Dubai,Asia/Dubai,DXB,2025-12-21 23:30:00+00:00,0.0,2025-12-21 22:53:00+00:00,2025-12-21 22:56:00+00:00,Tunisair,TU,TAR,148,TU148,TAR148,2025,12,21,Sunday,0.0,TUN → DXB,False
2025-12-21,landed,Carthage,Africa/Tunis,TUN,0.0,2025-12-21 14:25:00+00:00,2025-12-21 14:25:00+00:00,2025-12-21 14:36:00+00:00,Blagnac,Europe/Paris,TLS,2025-12-21 16:20:00+00:00,0.0,2025-12-21 16:15:00+00:00,2025-12-21 16:07:00+00:00,Tunisair,TU,TAR,282,TU282,TAR282,2025,12,21,Sunday,0.0,TUN → TLS,False
